policy_number,coverage_type,sublimit_cad,deductible_cad,effective_date,expiry_date,carrier
POL-10231,Cyber Liability,1000000,25000,2025-01-01,2026-01-01,Northbridge Underwriters
POL-10231,Business Interruption,500000,10000,2025-01-01,2026-01-01,Northbridge Underwriters
POL-10231,Data Breach Response,250000,5000,2025-01-01,2026-01-01,Northbridge Underwriters
POL-10455,Cyber Liability,2000000,50000,2025-03-15,2026-03-15,Meridian Assurance
POL-10455,Business Interruption,1000000,20000,2025-03-15,2026-03-15,Meridian Assurance
POL-10455,Social Engineering Fraud,100000,10000,2025-03-15,2026-03-15,Meridian Assurance
POL-10789,Cyber Liability,500000,15000,2025-06-01,2026-06-01,Northbridge Underwriters
POL-10789,Data Breach Response,150000,5000,2025-06-01,2026-06-01,Northbridge Underwriters
POL-11002,Cyber Liability,5000000,100000,2025-02-10,2026-02-10,Continental Risk Partners
POL-11002,Business Interruption,3000000,50000,2025-02-10,2026-02-10,Continental Risk Partners
POL-11002,Social Engineering Fraud,250000,25000,2025-02-10,2026-02-10,Continental Risk Partners
POL-11002,Data Breach Response,500000,10000,2025-02-10,2026-02-10,Continental Risk Partners
